订单编号,订单日期,地区,渠道,商品类别,商品名称,数量,单价,折扣,销售额,成本,客户类型,订单状态
ORD-2025-0224,2025-04-10,西南,直播间,家居日用,收纳箱,3,69.0,0.9,186.3,103.5,老客,已完成
ORD-2025-0225,2025-04-07,华中,企业团购,数码配件,蓝牙耳机,1,239.0,0.85,203.15,138.62,会员,已完成
ORD-2025-0226,2025-06-03,华中,直播间,厨房用品,不粘锅,1,259.0,0.85,220.15,134.68,会员,已完成
ORD-2025-0227,2025-02-28,华北,企业团购,厨房用品,刀具套装,2,169.0,0.85,287.3,185.9,老客,已完成
ORD-2025-0228,2025-05-11,华北,直播间,数码配件,无线鼠标,5,129.0,0.95,612.75,335.4,老客,已完成
ORD-2025-0229,2025-01-06,华中,企业团购,食品饮料,低糖燕麦,5,59.0,0.85,0.0,0.0,老客,已取消
ORD-2025-0230,2025-05-31,华东,直播间,食品饮料,低糖燕麦,3,59.0,0.9,159.3,107.97,会员,已完成
ORD-2025-0231,2025-03-24,华南,直播间,数码配件,手机支架,2,49.0,0.85,83.3,44.1,老客,已完成
ORD-2025-0232,2025-01-20,西南,直播间,厨房用品,刀具套装,4,169.0,1.0,0.0,0.0,老客,已取消
ORD-2025-0233,2025-04-04,华东,直营网店,家居日用,床上四件套,4,329.0,0.85,1118.6,815.92,会员,已完成
ORD-2025-0234,2025-02-22,西北,电商平台,数码配件,手机支架,4,49.0,0.95,186.2,88.2,会员,退款中
ORD-2025-0235,2025-06-04,华北,电商平台,厨房用品,刀具套装,2,169.0,0.95,321.1,185.9,新客,已完成
ORD-2025-0236,2025-02-06,华北,直播间,数码配件,手机支架,2,49.0,0.95,93.1,44.1,新客,已完成
ORD-2025-0237,2025-04-29,华东,直播间,家居日用,护眼台灯,3,149.0,0.95,424.65,236.91,新客,已完成
ORD-2025-0238,2025-01-28,华东,直营网店,厨房用品,刀具套装,5,169.0,0.85,718.25,464.75,会员,退款中
ORD-2025-0239,2025-01-07,西南,直播间,家居日用,护眼台灯,1,149.0,1.0,149.0,78.97,新客,已完成
ORD-2025-0240,2025-05-02,华中,电商平台,家居日用,护眼台灯,3,149.0,0.9,402.3,236.91,老客,已完成
ORD-2025-HIGH,2025-03-15,华东,企业团购,食品饮料,企业礼盒组合,30,328.0,0.9,8856.0,5904.0,会员,已完成
ORD-2025-ANOMALY,2025-05-20,华南,直播间,数码配件,无线鼠标,1,129.0,0.95,99999.99,67.08,新客,已完成
ORD-2025-0005,2025-03-08,华南,企业团购,厨房用品,保温杯,3,89.0,1.0,0.0,0.0,会员,已取消
